#Cross Section Data, O3 - lambda / nm	csec / cm^2
#Adapted from JPL-2010, obtained from MPI-Mainz UV/VIS Spectral Atlas
201	3.15e-19
203	3.26e-19
205	3.63e-19
207	4.33e-19
209	5.39e-19
211	6.93e-19
213	9.03e-19
216	1.18e-18
219	1.54e-18
221	1.99e-18
223	2.55e-18
226	3.22e-18
228	4.01e-18
231	4.90e-18
234	5.90e-18
237	6.93e-18
239	8.02e-18
242	9.08e-18
245	1.00e-17
248	1.08e-17
252	1.13e-17
255	1.15e-17
258	1.12e-17
261	1.06e-17
265	9.68e-18
268	8.40e-18
272	6.98e-18
275	5.47e-18
280	4.06e-18
284	2.82e-18
288	1.84e-18
292	1.13e-18
296	6.51e-19
299	4.52e-19
300	3.92e-19
301	3.43e-19
302	3.03e-19
303	2.62e-19
304	2.34e-19
305	2.01e-19
306	1.79e-19
307	1.55e-19
308	1.35e-19
309	1.22e-19
310	1.02e-19
311	9.24e-20
312	7.95e-20
313	6.91e-20
314	6.25e-20
315	5.19e-20
316	4.77e-20
317	4.02e-20
318	3.72e-20
319	2.89e-20
320	2.99e-20
321	2.10e-20
323	2.05e-20
324	1.41e-20
326	1.01e-20
330	6.97e-21
335	3.20e-21
340	1.46e-21
345	7.79e-22
350	3.06e-22
355	1.36e-22
360	6.94e-23
365	3.05e-23
370	1.30e-23
375	8.50e-24
380	5.72e-24
385	5.42e-24
390	6.68e-24
395	9.56e-24
400	1.15e-23
405	1.58e-23
410	2.58e-23
415	2.95e-23
420	3.93e-23
425	6.56e-23
430	6.97e-23
435	8.82e-23
440	1.37e-22
445	1.65e-22
450	1.85e-22
455	2.18e-22
460	3.66e-22
465	3.67e-22
470	4.10e-22
475	4.81e-22
480	7.54e-22
485	8.13e-22
490	8.16e-22
495	9.08e-22
500	1.21e-21
505	1.60e-21
510	1.58e-21
515	1.66e-21
520	1.83e-21
525	2.19e-21
530	2.67e-21
535	2.87e-21
540	2.95e-21
545	3.19e-21
550	3.37e-21
555	3.58e-21
560	3.98e-21
565	4.39e-21
570	4.67e-21
575	4.81e-21
580	4.64e-21
585	4.46e-21
590	4.47e-21
595	4.76e-21
600	5.13e-21
605	5.14e-21
610	4.78e-21
615	4.38e-21
620	4.06e-21
625	3.82e-21
630	3.56e-21
635	3.27e-21
640	2.97e-21
645	2.71e-21
650	2.51e-21
655	2.31e-21
660	2.10e-21
665	1.90e-21
670	1.70e-21
675	1.51e-21
680	1.37e-21
685	1.26e-21
690	1.13e-21
695	9.89e-22
700	8.68e-22
705	7.84e-22
710	7.31e-22
715	6.96e-22
720	6.22e-22
725	5.43e-22
730	4.78e-22
735	4.42e-22
740	4.32e-22
745	4.47e-22
750	4.25e-22
755	3.38e-22
760	2.86e-22
765	2.62e-22
770	2.60e-22
775	2.94e-22
780	3.18e-22
785	2.62e-22
790	2.08e-22
795	1.73e-22
800	1.57e-22
805	1.56e-22
810	1.86e-22
815	2.21e-22
820	2.06e-22
825	1.45e-22
