#Cross Section Data, O3 - lambda / nm	csec / cm^2
#Adapted from JPL-2010, obtained from MPI-Mainz UV/VIS Spectral Atlas
201	0.5937
203	0.6211
205	0.6485
207	0.6759
209	0.7033
211	0.7307
213	0.7581
216	0.7992
219	0.8403
221	0.8677
223	0.8951
226	0.9
228	0.9
231	0.9
234	0.9
237	0.9
239	0.9
242	0.9
245	0.9
248	0.9
252	0.9
255	0.9
258	0.9
261	0.9
265	0.9
268	0.9
272	0.9
275	0.9
280	0.9
284	0.9
288	0.9
292	0.9
296	0.9
299	0.9
300	0.9
301	0.9
302	0.9
303	0.9
304	0.9
305	0.9
306	0.88
307	0.85
308	0.75
309	0.6
310	0.45
311	0.35
312	0.2
313	0.18
314	0.16
315	0.15
316	0.14
317	0.13
318	0.13
319	0.12
320	0.12
321	0.11
323	0.11
324	0.1
326	0.1
330	0.05
335	0.05
340	0.02
345	0
350	0
355	0
360	0
365	0
370	0
375	0
380	0
385	0
390	0
395	0
400	0
405	0
410	0
415	0
420	0
425	0
430	0
435	0
440	0
445	0
450	0
455	0
460	0
465	0
470	0
475	0
480	0
485	0
490	0
495	0
500	0
505	0
510	0
515	0
520	0
525	0
530	0
535	0
540	0
545	0
550	0
555	0
560	0
565	0
570	0
575	0
580	0
585	0
590	0
595	0
600	0
605	0
610	0
615	0
620	0
625	0
630	0
635	0
640	0
645	0
650	0
655	0
660	0
665	0
670	0
675	0
680	0
685	0
690	0
695	0
700	0
705	0
710	0
715	0
720	0
725	0
730	0
735	0
740	0
745	0
750	0
755	0
760	0
765	0
770	0
775	0
780	0
785	0
790	0
795	0
800	0
805	0
810	0
815	0
820	0
825	0
